id;name;code;code_a_2;code_a_3;flag;active
1;content backing up Usability;Division;Be;Sol;optimize Personal Loan Account;false
2;Uganda;robust;No;Per;intuitive clear-thinking;true
3;Fresh;synthesizing;cu;int;recontextualize;true
4;deposit Gorgeous Kids;Small quantifying co;Sh;Off;synergies Rustic Rubber Computer engineer;false
5;Handcrafted Fresh Pizza;sexy;Gr;Ass;Practical Metal Computer;true
6;Orchard Connecticut;Minnesota Coordinato;Vi;bac;Synchronised Sleek;false
7;New York Solomon Islands;haptic;Gr;del;connect Director hack;false
8;orchid recontextualize;Fork;de;Jew;Keyboard;false
9;bandwidth-monitored;parsing;Fa;web;plug-and-play PNG;false
10;ivory indexing New York;Dynamic Bacon;In;int;Customer;false
