id;name;code;num_code;preferred
1;architectures Frozen Virginia;wireless Soft primar;SAS;true
2;Brand Handcrafted Granite Table;IB ROI optical;Com;false
3;content Borders Officer;compressing Home Loa;int;false
4;Quality policy;user-facing Beauty M;cle;true
5;next-generation enable neural;Investor;Hom;false
6;Intelligent Frozen Mouse;JSON online turquois;Com;false
7;National;Research wireless;Rea;true
8;revolutionary;Future;Bor;false
9;haptic Western Sahara Applications;AGP Implementation S;Use;false
10;Movies quantifying GB;Sleek hacking Direct;Shi;false
